category,ip,port,unit_id,register_status_addr,register_start_addr,register_stop_addr,register_name,scale,p-id
huawei,10.107.4.168,502,100,40543,40203,40202,PV state,1,CN-506
huawei,10.107.5.168,502,100,40543,40203,40202,PV state,1,CN-511
huawei,10.107.5.169,502,100,40543,40203,40202,PV state,1,CN-512
sungrow,10.100.44.170,502,247,8067,8001,8001,PV state,1,S-001
sungrow,10.100.45.160,502,247,8067,8001,8001,PV state,1,S-003
huawei,10.102.11.160,502,100,40543,40203,40202,PV state,1,S-016
huawei,10.100.15.169,502,100,40543,40203,40202,PV state,1,S-029
huawei,10.100.30.160,502,100,40543,40203,40202,PV state,1,S-060
huawei,10.100.8.160,502,100,40543,40203,40202,PV state,1,S-064
huawei,10.100.9.160,502,100,40543,40203,40202,PV state,1,S-065
huawei,10.100.11.168,502,100,40543,40203,40202,PV state,1,S-066
huawei,10.100.10.160,502,100,40543,40203,40202,PV state,1,S-068
huawei,10.100.35.160,502,100,40543,40203,40202,PV state,1,S-086
huawei,10.100.29.160,502,100,40543,40203,40202,PV state,1,S-087
huawei,10.100.29.161,502,100,40543,40203,40202,PV state,1,S-088
huawei,10.106.41.160,502,100,40543,40203,40202,PV state,1,S-111
huawei,10.102.22.160,502,100,40543,40203,40202,PV state,1,S-206
huawei,10.102.25.160,502,100,40543,40203,40202,PV state,1,S-223
huawei,10.102.27.160,502,100,40543,40203,40202,PV state,1,S-225
sungrow,10.106.7.161,502,247,8067,8001,8001,PV state,1,S-901
sungrow,10.106.1.168,502,247,8067,8001,8001,PV state,1,S-902
sungrow,10.106.7.165,502,247,8067,8001,8001,PV state,1,S-905
sungrow,10.106.9.160,502,247,8067,8001,8001,PV state,1,S-906
sungrow,10.106.9.161,502,247,8067,8001,8001,PV state,1,S-907
sungrow,10.106.12.160,502,247,8067,8001,8001,PV state,1,S-922
huawei,10.102.56.160,502,100,40543,40203,40202,PV state,1,V-020
pilot,10.108.2.51,502,1,40193,40241,40241,PV state,1,S-236
pilot,10.108.2.52,502,1,40193,40241,40241,PV state,1,S-236
pilot,10.108.2.53,502,1,40193,40241,40241,PV state,1,S-236
pilot,10.108.2.54,502,1,40193,40241,40241,PV state,1,S-236
pilot,10.108.2.55,502,1,40193,40241,40241,PV state,1,S-236
pilot,10.108.2.56,502,1,40193,40241,40241,PV state,1,S-236
pilot,10.108.2.57,502,1,40193,40241,40241,PV state,1,S-236
pilot,10.108.2.58,502,1,40193,40241,40241,PV state,1,S-236
pilot,10.108.2.59,502,1,40193,40241,40241,PV state,1,S-236
pilot,10.108.2.60,502,1,40193,40241,40241,PV state,1,S-236
pilot,10.108.3.51,502,1,40193,40241,40241,PV state,1,S-237
pilot,10.108.3.52,502,1,40193,40241,40241,PV state,1,S-237
pilot,10.108.3.53,502,1,40193,40241,40241,PV state,1,S-237
pilot,10.108.3.54,502,1,40193,40241,40241,PV state,1,S-237
pilot,10.108.3.55,502,1,40193,40241,40241,PV state,1,S-237
pilot,10.108.3.56,502,1,40193,40241,40241,PV state,1,S-237
pilot,10.108.3.57,502,1,40193,40241,40241,PV state,1,S-237
pilot,10.108.4.51,502,1,40193,40241,40241,PV state,1,S-238
pilot,10.108.4.52,502,1,40193,40241,40241,PV state,1,S-238
pilot,10.108.4.53,502,1,40193,40241,40241,PV state,1,S-238
pilot,10.108.4.54,502,1,40193,40241,40241,PV state,1,S-238
pilot,10.108.4.55,502,1,40193,40241,40241,PV state,1,S-238
pilot,10.108.5.51,502,1,40193,40241,40241,PV state,1,S-239
pilot,10.108.5.52,502,1,40193,40241,40241,PV state,1,S-239
pilot,10.108.5.53,502,1,40193,40241,40241,PV state,1,S-239
pilot,10.108.5.54,502,1,40193,40241,40241,PV state,1,S-239
pilot,10.108.5.55,502,1,40193,40241,40241,PV state,1,S-239
pilot,10.108.21.51,502,1,40193,40241,40241,PV state,1,S-240
pilot,10.108.21.52,502,1,40193,40241,40241,PV state,1,S-240
pilot,10.108.21.53,502,1,40193,40241,40241,PV state,1,S-240
pilot,10.108.21.54,502,1,40193,40241,40241,PV state,1,S-240
pilot,10.108.21.55,502,1,40193,40241,40241,PV state,1,S-240
pilot,10.108.21.56,502,1,40193,40241,40241,PV state,1,S-240
pilot,10.108.21.57,502,1,40193,40241,40241,PV state,1,S-240
pilot,10.108.21.58,502,1,40193,40241,40241,PV state,1,S-240
pilot,10.108.21.59,502,1,40193,40241,40241,PV state,1,S-240
pilot,10.108.6.51,502,1,40193,40241,40241,PV state,1,S-241
pilot,10.108.6.52,502,1,40193,40241,40241,PV state,1,S-241
pilot,10.108.6.53,502,1,40193,40241,40241,PV state,1,S-241
pilot,10.108.6.54,502,1,40193,40241,40241,PV state,1,S-241
pilot,10.108.6.55,502,1,40193,40241,40241,PV state,1,S-241
pilot,10.108.6.56,502,1,40193,40241,40241,PV state,1,S-241
pilot,10.108.6.57,502,1,40193,40241,40241,PV state,1,S-241
pilot,10.108.6.58,502,1,40193,40241,40241,PV state,1,S-241
pilot,10.108.6.59,502,1,40193,40241,40241,PV state,1,S-241
pilot,10.108.9.61,502,1,40193,40241,40241,PV state,1,S-242
pilot,10.108.9.62,502,1,40193,40241,40241,PV state,1,S-242
pilot,10.108.9.63,502,1,40193,40241,40241,PV state,1,S-242
pilot,10.108.9.64,502,1,40193,40241,40241,PV state,1,S-242
pilot,10.108.9.65,502,1,40193,40241,40241,PV state,1,S-242
pilot,10.108.9.66,502,1,40193,40241,40241,PV state,1,S-242
pilot,10.108.9.67,502,1,40193,40241,40241,PV state,1,S-242
pilot,10.108.9.68,502,1,40193,40241,40241,PV state,1,S-242
pilot,10.108.9.69,502,1,40193,40241,40241,PV state,1,S-242
pilot,10.108.9.70,502,1,40193,40241,40241,PV state,1,S-242
pilot,10.108.16.61,502,1,40193,40241,40241,PV state,1,S-244
pilot,10.108.16.62,502,1,40193,40241,40241,PV state,1,S-244
pilot,10.108.16.63,502,1,40193,40241,40241,PV state,1,S-244
pilot,10.108.16.64,502,1,40193,40241,40241,PV state,1,S-244
pilot,10.108.16.65,502,1,40193,40241,40241,PV state,1,S-244
pilot,10.108.16.66,502,1,40193,40241,40241,PV state,1,S-244
pilot,10.108.16.67,502,1,40193,40241,40241,PV state,1,S-244
pilot,10.108.16.68,502,1,40193,40241,40241,PV state,1,S-244
pilot,10.108.16.69,502,1,40193,40241,40241,PV state,1,S-244
pilot,10.108.16.70,502,1,40193,40241,40241,PV state,1,S-244
pilot,10.108.14.51,502,1,40193,40241,40241,PV state,1,S-246
pilot,10.108.14.52,502,1,40193,40241,40241,PV state,1,S-246
pilot,10.108.14.53,502,1,40193,40241,40241,PV state,1,S-246
pilot,10.108.14.54,502,1,40193,40241,40241,PV state,1,S-246
pilot,10.108.14.55,502,1,40193,40241,40241,PV state,1,S-246
pilot,10.108.14.56,502,1,40193,40241,40241,PV state,1,S-246
pilot,10.108.14.57,502,1,40193,40241,40241,PV state,1,S-246
pilot,10.108.14.58,502,1,40193,40241,40241,PV state,1,S-246
pilot,10.108.14.59,502,1,40193,40241,40241,PV state,1,S-246
pilot,10.108.14.60,502,1,40193,40241,40241,PV state,1,S-246
pilot,10.108.16.51,502,1,40193,40241,40241,PV state,1,S-248
pilot,10.108.16.52,502,1,40193,40241,40241,PV state,1,S-248
pilot,10.108.16.53,502,1,40193,40241,40241,PV state,1,S-248
pilot,10.108.16.54,502,1,40193,40241,40241,PV state,1,S-248
pilot,10.108.16.55,502,1,40193,40241,40241,PV state,1,S-248
pilot,10.108.16.56,502,1,40193,40241,40241,PV state,1,S-248
pilot,10.108.16.57,502,1,40193,40241,40241,PV state,1,S-248
pilot,10.108.16.58,502,1,40193,40241,40241,PV state,1,S-248
pilot,10.108.16.59,502,1,40193,40241,40241,PV state,1,S-248
pilot,10.108.16.60,502,1,40193,40241,40241,PV state,1,S-248
pilot,10.108.19.51,502,1,40193,40241,40241,PV state,1,S-253
pilot,10.108.19.52,502,1,40193,40241,40241,PV state,1,S-253
pilot,10.108.19.53,502,1,40193,40241,40241,PV state,1,S-253
pilot,10.108.19.54,502,1,40193,40241,40241,PV state,1,S-253
pilot,10.108.19.55,502,1,40193,40241,40241,PV state,1,S-253
pilot,10.108.19.56,502,1,40193,40241,40241,PV state,1,S-253
pilot,10.108.19.57,502,1,40193,40241,40241,PV state,1,S-253
pilot,10.108.19.58,502,1,40193,40241,40241,PV state,1,S-253
pilot,10.108.19.59,502,1,40193,40241,40241,PV state,1,S-253
pilot,10.108.19.60,502,1,40193,40241,40241,PV state,1,S-253
pilot,10.108.5.61,502,1,40193,40241,40241,PV state,1,S-254
pilot,10.108.5.62,502,1,40193,40241,40241,PV state,1,S-254
pilot,10.108.5.63,502,1,40193,40241,40241,PV state,1,S-254
pilot,10.108.5.64,502,1,40193,40241,40241,PV state,1,S-254
pilot,10.108.5.65,502,1,40193,40241,40241,PV state,1,S-254
pilot,10.108.6.61,502,1,40193,40241,40241,PV state,1,S-255
pilot,10.108.6.62,502,1,40193,40241,40241,PV state,1,S-255
pilot,10.108.6.63,502,1,40193,40241,40241,PV state,1,S-255
pilot,10.108.6.64,502,1,40193,40241,40241,PV state,1,S-255
pilot,10.108.6.65,502,1,40193,40241,40241,PV state,1,S-255
pilot,10.108.7.51,502,1,40193,40241,40241,PV state,1,S-257
pilot,10.108.7.52,502,1,40193,40241,40241,PV state,1,S-257
pilot,10.108.7.53,502,1,40193,40241,40241,PV state,1,S-257
pilot,10.108.7.54,502,1,40193,40241,40241,PV state,1,S-257
pilot,10.108.7.55,502,1,40193,40241,40241,PV state,1,S-257
pilot,10.108.7.56,502,1,40193,40241,40241,PV state,1,S-257
pilot,10.108.7.57,502,1,40193,40241,40241,PV state,1,S-257
pilot,10.108.7.58,502,1,40193,40241,40241,PV state,1,S-257
pilot,10.108.7.59,502,1,40193,40241,40241,PV state,1,S-257
pilot,10.108.7.60,502,1,40193,40241,40241,PV state,1,S-257
pilot,10.108.9.51,502,1,40193,40241,40241,PV state,1,S-260
pilot,10.108.9.52,502,1,40193,40241,40241,PV state,1,S-260
pilot,10.108.9.53,502,1,40193,40241,40241,PV state,1,S-260
pilot,10.108.9.54,502,1,40193,40241,40241,PV state,1,S-260
pilot,10.108.9.55,502,1,40193,40241,40241,PV state,1,S-260
pilot,10.108.9.56,502,1,40193,40241,40241,PV state,1,S-260
pilot,10.108.9.57,502,1,40193,40241,40241,PV state,1,S-260
pilot,10.108.9.58,502,1,40193,40241,40241,PV state,1,S-260
pilot,10.108.9.59,502,1,40193,40241,40241,PV state,1,S-260
pilot,10.108.9.60,502,1,40193,40241,40241,PV state,1,S-260
