category,ip,port,unit_id,register_status_addr,register_start_addr,register_stop_addr,register_name,scale,p-id
huawei,10.107.1.168,502,100,40543,40203,40202,PV state,1,CN-448
sungrow,10.102.28.160,502,247,8067,8001,8001,PV state,1,CP-516
huawei,10.102.19.160,502,100,40543,40203,40202,PV state,1,S-015
huawei,10.102.9.161,502,100,40543,40203,40202,PV state,1,S-017
huawei,10.102.2.160,502,100,40543,40203,40202,PV state,1,S-020
froniusDatamanager,10.100.17.160,502,16,40193,40241,40241,PV state,1,S-021
huawei,10.100.12.160,502,100,40543,40203,40202,PV state,1,S-022
huawei,10.100.12.161,502,100,40543,40203,40202,PV state,1,S-023
huawei,10.100.13.168,502,100,40543,40203,40202,PV state,1,S-024
huawei,10.102.20.160,502,100,40543,40203,40202,PV state,1,S-025
huawei,10.100.15.161,502,100,40543,40203,40202,PV state,1,S-028
froniusDatamanager,10.100.2.161,502,16,40193,40241,40241,PV state,1,S-031
froniusDatamanager,10.100.5.162,502,32,40193,40241,40241,PV state,1,S-032
sungrow,10.100.2.163,502,247,8067,8001,8001,PV state,1,S-033
froniusDatamanager,10.100.1.164,502,16,40193,40241,40241,PV state,1,S-034
froniusDatamanager,10.100.1.165,502,16,40193,40241,40241,PV state,1,S-035
huawei,10.100.19.160,502,100,40543,40203,40202,PV state,1,S-037
huawei,10.100.18.168,502,100,40543,40203,40202,PV state,1,S-038
huawei,10.100.16.160,502,100,40543,40203,40202,PV state,1,S-039
froniusDatamanager,10.100.3.163,502,16,40193,40241,40241,PV state,1,S-043
froniusDatamanager,10.100.3.164,502,16,40193,40241,40241,PV state,1,S-044
froniusDatamanager,10.100.5.165,502,15,40193,40241,40241,PV state,1,S-045
huawei,10.100.19.161,502,100,40543,40203,40202,PV state,1,S-046
huawei,10.100.20.167,502,100,40543,40203,40202,PV state,1,S-047
huawei,10.100.20.168,502,100,40543,40203,40202,PV state,1,S-048
huawei,10.100.20.169,502,100,40543,40203,40202,PV state,1,S-049
froniusDatamanager,10.101.1.168,502,16,40193,40241,40241,PV state,1,S-050
huawei,10.101.2.161,502,100,40543,40203,40202,PV state,1,S-051
froniusDatamanager,10.101.2.162,502,17,40193,40241,40241,PV state,1,S-052
huawei,10.100.21.160,502,100,40543,40203,40202,PV state,1,S-061
huawei,10.100.21.162,502,100,40543,40203,40202,PV state,1,S-062
sungrow,10.103.1.160,502,247,8067,8001,8001,PV state,1,S-070
sungrow,10.103.1.161,502,247,8067,8001,8001,PV state,1,S-071
huawei,10.102.15.160,502,100,40543,40203,40202,PV state,1,S-072
huawei,10.102.12.160,502,100,40543,40203,40202,PV state,1,S-073
huawei,10.102.16.160,502,100,40543,40203,40202,PV state,1,S-074
huawei,10.102.7.160,502,100,40543,40203,40202,PV state,1,S-075
huawei,10.102.17.160,502,100,40543,40203,40202,PV state,1,S-078
huawei,10.102.9.160,502,100,40543,40203,40202,PV state,1,S-079
froniusDatamanager,10.106.3.168,502,16,40193,40241,40241,PV state,1,S-080
sungrow,10.102.5.160,502,247,8067,8001,8001,PV state,1,S-095
huawei,10.102.3.160,502,100,40543,40203,40202,PV state,1,S-096
huawei,10.102.18.160,502,100,40543,40203,40202,PV state,1,S-097
sungrow,10.102.6.160,502,247,8067,8001,8001,PV state,1,S-098
huawei,10.102.4.160,502,100,40543,40203,40202,PV state,1,S-100
froniusDatamanager,172.27.29.161,502,15,40193,40241,40241,PV state,1,S-101
froniusDatamanager,172.27.29.162,502,15,40193,40241,40241,PV state,1,S-102
froniusDatamanager,172.27.30.168,502,16,40193,40241,40241,PV state,1,S-103
froniusDatamanager,10.100.21.168,502,19,40193,40241,40241,PV state,1,S-108
huawei,172.27.28.161,502,100,40543,40203,40202,PV state,1,S-109
huawei,172.27.28.162,502,100,40543,40203,40202,PV state,1,S-110
froniusDatamanager,10.103.10.168,502,17,40193,40241,40241,PV state,1,S-119
huawei,10.100.34.160,502,100,40543,40203,40202,PV state,1,S-125
huawei,10.102.30.160,502,100,40543,40203,40202,PV state,1,S-127
sungrow,10.106.10.160,502,247,8067,8001,8001,PV state,1,S-150
huawei,10.100.43.160,502,100,40543,40203,40202,PV state,1,S-152
huawei,10.102.41.160,502,100,40543,40203,40202,PV state,1,S-201
huawei,10.102.10.160,502,100,40543,40203,40202,PV state,1,S-202
huawei,10.102.14.160,502,100,40543,40203,40202,PV state,1,S-203
huawei,10.102.13.160,502,100,40543,40203,40202,PV state,1,S-204
huawei,10.102.1.160,502,100,40543,40203,40202,PV state,1,S-205
huawei,10.102.24.160,502,100,40543,40203,40202,PV state,1,S-208
huawei,10.102.29.160,502,100,40543,40203,40202,PV state,1,S-209
sungrow,10.102.26.160,502,247,8067,8001,8001,PV state,1,S-224
huawei,10.102.42.160,502,100,40543,40203,40202,PV state,1,S-227
sungrow,10.106.7.161,502,247,8067,8001,8001,PV state,1,S-903
sungrow,10.106.8.160,502,247,8067,8001,8001,PV state,1,S-908
sungrow,10.106.11.168,502,247,8067,8001,8001,PV state,1,S-910
huawei,10.106.2.168,502,100,40543,40203,40202,PV state,1,S-920
huawei,10.102.43.168,502,100,40543,40203,40202,PV state,1,V-001
huawei,10.102.44.168,502,100,40543,40203,40202,PV state,1,V-005
huawei,10.102.49.160,502,100,40543,40203,40202,PV state,1,V-011
huawei,10.102.50.168,502,100,40543,40203,40202,PV state,1,V-012
huawei,10.102.51.160,502,100,40543,40203,40202,PV state,1,V-013
pilot,10.108.1.51,502,1,40193,40241,40241,PV state,1,S-230
pilot,10.108.1.52,502,1,40193,40241,40241,PV state,1,S-230
pilot,10.108.1.53,502,1,40193,40241,40241,PV state,1,S-230
pilot,10.108.1.54,502,1,40193,40241,40241,PV state,1,S-230
pilot,10.108.1.55,502,1,40193,40241,40241,PV state,1,S-230
pilot,10.108.7.61,502,1,40193,40241,40241,PV state,1,S-243
pilot,10.108.7.62,502,1,40193,40241,40241,PV state,1,S-243
pilot,10.108.7.63,502,1,40193,40241,40241,PV state,1,S-243
pilot,10.108.7.64,502,1,40193,40241,40241,PV state,1,S-243
pilot,10.108.7.65,502,1,40193,40241,40241,PV state,1,S-243
pilot,10.108.7.66,502,1,40193,40241,40241,PV state,1,S-243
