category,ip,port,unit_id,register_status_addr,register_start_addr,register_stop_addr,register_name,scale,unit
froniusGen24,10.103.11.51,502,1,40193,40241,40241,PV inverter state,1,
froniusGen24,10.103.11.52,502,1,40193,40241,40241,PV inverter state,1,
froniusGen24,10.103.11.53,502,1,40193,40241,40241,PV inverter state,1,
froniusGen24,10.103.11.54,502,1,40193,40241,40241,PV inverter state,1,
froniusGen24,10.103.11.55,502,1,40193,40241,40241,PV inverter state,1,
froniusGen24,10.108.1.51,502,1,40193,40241,40241,PV inverter state,1,
froniusGen24,10.108.1.52,502,1,40193,40241,40241,PV inverter state,1,
froniusGen24,10.108.1.53,502,1,40193,40241,40241,PV inverter state,1,
froniusGen24,10.108.1.54,502,1,40193,40241,40241,PV inverter state,1,
froniusGen24,10.108.1.55,502,1,40193,40241,40241,PV inverter state,1,
froniusGen24,10.108.7.61,502,1,40193,40241,40241,PV inverter state,1,
froniusGen24,10.108.7.62,502,1,40193,40241,40241,PV inverter state,1,
froniusGen24,10.108.7.63,502,1,40193,40241,40241,PV inverter state,1,
froniusGen24,10.108.7.64,502,1,40193,40241,40241,PV inverter state,1,
froniusGen24,10.108.7.65,502,1,40193,40241,40241,PV inverter state,1,
froniusGen24,10.108.7.66,502,1,40193,40241,40241,PV inverter state,1,
froniusGen24,10.108.15.51,502,1,40193,40241,40241,PV inverter state,1,
froniusGen24,10.108.15.52,502,1,40193,40241,40241,PV inverter state,1,
froniusGen24,10.108.15.53,502,1,40193,40241,40241,PV inverter state,1,
froniusGen24,10.108.15.54,502,1,40193,40241,40241,PV inverter state,1,
froniusGen24,10.108.15.55,502,1,40193,40241,40241,PV inverter state,1,
froniusGen24,10.108.17.51,502,1,40193,40241,40241,PV inverter state,1,
froniusGen24,10.108.17.52,502,1,40193,40241,40241,PV inverter state,1,
froniusGen24,10.108.17.53,502,1,40193,40241,40241,PV inverter state,1,
froniusGen24,10.108.17.54,502,1,40193,40241,40241,PV inverter state,1,
froniusGen24,10.108.17.55,502,1,40193,40241,40241,PV inverter state,1,
froniusGen24,10.108.17.56,502,1,40193,40241,40241,PV inverter state,1,
froniusGen24,10.108.17.57,502,1,40193,40241,40241,PV inverter state,1,
froniusGen24,10.108.18.51,502,1,40193,40241,40241,PV inverter state,1,
froniusGen24,10.108.18.52,502,1,40193,40241,40241,PV inverter state,1,
froniusGen24,10.108.18.53,502,1,40193,40241,40241,PV inverter state,1,
froniusGen24,10.108.18.54,502,1,40193,40241,40241,PV inverter state,1,
froniusGen24,10.108.18.55,502,1,40193,40241,40241,PV inverter state,1,
froniusGen24,10.108.14.61,502,1,40193,40241,40241,PV inverter state,1,
froniusGen24,10.108.14.62,502,1,40193,40241,40241,PV inverter state,1,
froniusGen24,10.108.14.63,502,1,40193,40241,40241,PV inverter state,1,
froniusGen24,10.108.14.64,502,1,40193,40241,40241,PV inverter state,1,
froniusGen24,10.108.14.65,502,1,40193,40241,40241,PV inverter state,1,
froniusGen24,10.108.8.51,502,1,40193,40241,40241,PV inverter state,1,
froniusGen24,10.108.8.52,502,1,40193,40241,40241,PV inverter state,1,
froniusGen24,10.108.8.53,502,1,40193,40241,40241,PV inverter state,1,
froniusGen24,10.108.8.54,502,1,40193,40241,40241,PV inverter state,1,
froniusGen24,10.108.8.55,502,1,40193,40241,40241,PV inverter state,1,
froniusGen24,10.108.20.51,502,1,40193,40241,40241,PV inverter state,1,
froniusGen24,10.108.20.52,502,1,40193,40241,40241,PV inverter state,1,
froniusGen24,10.108.20.53,502,1,40193,40241,40241,PV inverter state,1,
froniusGen24,10.108.20.54,502,1,40193,40241,40241,PV inverter state,1,
froniusGen24,10.108.20.55,502,1,40193,40241,40241,PV inverter state,1,
huawei,10.107.1.168,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.100.31.160,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.100.7.163,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.100.7.168,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.102.19.160,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.102.9.161,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.102.2.160,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.100.12.162,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.100.12.163,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.100.13.168,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.102.20.160,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.100.14.168,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.100.15.168,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.100.19.167,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.100.18.168,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.100.16.168,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.100.19.166,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.100.20.167,502,100,40543,40203,40202,PV inverter state,1,
