category,ip,port,unit_id,register_status_addr,register_start_addr,register_stop_addr,register_name,scale,unit
huawei,10.107.1.168,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.100.31.160,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.100.7.163,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.100.7.168,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.102.19.160,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.102.9.161,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.102.2.160,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.100.12.162,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.100.12.163,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.100.13.168,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.102.20.160,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.100.14.168,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.100.15.168,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.100.19.167,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.100.18.168,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.100.16.168,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.100.19.166,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.100.20.167,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.100.20.168,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.100.20.169,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.101.2.161,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.100.21.161,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.100.21.162,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.100.8.160,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.100.9.160,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.100.10.160,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.102.15.160,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.102.12.160,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.102.16.160,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.102.7.160,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.102.17.160,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.102.9.160,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.100.29.161,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.102.3.160,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.102.18.160,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.102.4.160,502,100,40543,40203,40202,PV inverter state,1,
huawei,172.27.28.161,502,100,40543,40203,40202,PV inverter state,1,
huawei,172.27.28.162,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.100.34.160,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.102.30.160,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.100.46.160,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.100.43.160,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.102.41.160,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.102.10.160,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.102.14.160,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.102.13.160,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.102.1.160,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.102.22.160,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.102.24.160,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.102.29.160,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.102.42.160,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.106.2.168,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.102.43.168,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.102.44.168,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.102.49.160,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.102.50.168,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.102.51.160,502,100,40543,40203,40202,PV inverter state,1,
huawei,10.102.56.160,502,100,40543,40203,40202,PV inverter state,1,
